pt,session_id,start,end,TagId,TagLat,TagLng
146,Y8,2021-06-01 12:12:00,2021-06-01 12:18:00,_52557833,38.30284542,-104.3571404
147,Y8,2021-06-01 12:12:00,2021-06-01 12:18:00,_78555255,38.30284542,-104.3571404
148,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_19073334,38.30276875,-104.3574557
149,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_19522D19,38.30276875,-104.3574557
150,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_1E190761,38.30276875,-104.3574557
151,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_4B2D191E,38.30276875,-104.3574557
152,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_52557833,38.30276875,-104.3574557
153,Y9,2021-06-01 12:18:00,2021-06-01 12:25:00,_78555255,38.30276875,-104.3574557
154,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_19073334,38.30274275,-104.3577383
155,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_19522D19,38.30274275,-104.3577383
156,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_1E190761,38.30274275,-104.3577383
157,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_4B2D191E,38.30274275,-104.3577383
158,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_52557833,38.30274275,-104.3577383
159,Y10,2021-06-01 12:25:00,2021-06-01 12:30:00,_78555255,38.30274275,-104.3577383
160,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_2A1E5561,38.30327366,-104.3563491
161,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_33333319,38.30327366,-104.3563491
162,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_4B342D19,38.30327366,-104.3563491
163,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_4B780707,38.30327366,-104.3563491
164,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_4C4B6607,38.30327366,-104.3563491
165,W6,2021-06-01 12:01:00,2021-06-01 12:06:00,_664C4C55,38.30327366,-104.3563491
166,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_2A1E5561,38.30342357,-104.35638
167,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_33333319,38.30342357,-104.35638
168,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_4B342D19,38.30342357,-104.35638
169,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_4B780707,38.30342357,-104.35638
170,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_4C4B6607,38.30342357,-104.35638
171,W7,2021-06-01 12:06:00,2021-06-01 12:12:00,_664C4C55,38.30342357,-104.35638
172,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_2A1E5561,38.30364695,-104.3564139
173,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_33333319,38.30364695,-104.3564139
174,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_4B342D19,38.30364695,-104.3564139
175,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_4B780707,38.30364695,-104.3564139
176,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_4C4B6607,38.30364695,-104.3564139
177,W8,2021-06-01 12:12:00,2021-06-01 12:17:00,_664C4C55,38.30364695,-104.3564139
178,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_2A1E5561,38.30386455,-104.3564228
179,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_33333319,38.30386455,-104.3564228
180,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_4B342D19,38.30386455,-104.3564228
181,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_4B780707,38.30386455,-104.3564228
182,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_4C4B6607,38.30386455,-104.3564228
183,W9,2021-06-01 12:17:00,2021-06-01 12:23:00,_664C4C55,38.30386455,-104.3564228
184,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_2A1E5561,38.30406537,-104.356464
185,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_33333319,38.30406537,-104.356464
186,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_4B342D19,38.30406537,-104.356464
187,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_4B780707,38.30406537,-104.356464
188,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_4C4B6607,38.30406537,-104.356464
189,W10,2021-06-01 12:23:00,2021-06-01 12:28:00,_664C4C55,38.30406537,-104.356464
190,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_0707331E,38.30299501,-104.3560252
191,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_1E342D1E,38.30299501,-104.3560252
192,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_2A2A522D,38.30299501,-104.3560252
193,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_4B66664C,38.30299501,-104.3560252
194,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_781E1E78,38.30299501,-104.3560252
195,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,_7833664B,38.30299501,-104.3560252
196,B6,2021-06-01 12:00:00,2021-06-01 12:06:00,07557852,38.30299501,-104.3560252
197,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,_0707331E,38.30303022,-104.3557488
198,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,_1E342D1E,38.30303022,-104.3557488
199,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,_2A2A522D,38.30303022,-104.3557488
200,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,_4B66664C,38.30303022,-104.3557488
201,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,_781E1E78,38.30303022,-104.3557488
202,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,7833664B,38.30303022,-104.3557488
203,B7,2021-06-01 12:06:00,2021-06-01 12:12:00,07557852,38.30303022,-104.3557488
204,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_0707331E,38.30309649,-104.3554686
205,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_1E342D1E,38.30309649,-104.3554686
206,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_2A2A522D,38.30309649,-104.3554686
207,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_4B66664C,38.30309649,-104.3554686
208,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_781E1E78,38.30309649,-104.3554686
209,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,_7833664B,38.30309649,-104.3554686
210,B8,2021-06-01 12:12:00,2021-06-01 12:18:00,07557852,38.30309649,-104.3554686
211,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_0707331E,38.30310896,-104.3551673
212,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_1E342D1E,38.30310896,-104.3551673
213,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_2A2A522D,38.30310896,-104.3551673
214,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_4B66664C,38.30310896,-104.3551673
215,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_781E1E78,38.30310896,-104.3551673
216,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,_7833664B,38.30310896,-104.3551673
217,B9,2021-06-01 12:18:00,2021-06-01 12:24:00,07557852,38.30310896,-104.3551673
218,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_0707331E,38.30312716,-104.3548803
219,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_1E342D1E,38.30312716,-104.3548803
220,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_2A2A522D,38.30312716,-104.3548803
221,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_4B66664C,38.30312716,-104.3548803
222,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_781E1E78,38.30312716,-104.3548803
223,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,_7833664B,38.30312716,-104.3548803
224,B10,2021-06-01 12:24:00,2021-06-01 12:29:00,07557852,38.30312716,-104.3548803
225,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_2A074C2A,38.30273913,-104.3562661
226,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_2D784C33,38.30273913,-104.3562661
227,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_341E6155,38.30273913,-104.3562661
228,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_524B2A07,38.30273913,-104.3562661
229,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_66196107,38.30273913,-104.3562661
230,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,_66343419,38.30273913,-104.3562661
231,O6,2021-06-01 12:01:00,2021-06-01 12:10:00,07073334,38.30273913,-104.3562661
232,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_2A074C2A,38.30251061,-104.3562221
233,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_2D784C33,38.30251061,-104.3562221
234,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_341E6155,38.30251061,-104.3562221
235,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_524B2A07,38.30251061,-104.3562221
236,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_66196107,38.30251061,-104.3562221
237,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,_66343419,38.30251061,-104.3562221
238,O7,2021-06-01 12:10:00,2021-06-01 12:12:00,07073334,38.30251061,-104.3562221
239,O8,2021-06-01 12:12:00,2021-06-01 12:18:00,_2A074C2A,38.30225713,-104.3562247
