"","NodeId","lat","lng"
"1","325B16",38.3030007002967,-104.35071178635
"2","325D08",38.3072466621622,-104.347899027027
"3","325D17",38.284878,-104.367314
"4","325D5F",38.3032348091603,-104.359359236641
"5","32600D",38.2823702222222,-104.367180666667
"6","326077",38.2931134285714,-104.361392857143
"7","3260F6",38.300700379562,-104.350552116788
"8","326123",38.2925503466667,-104.35876688
"9","326182",38.300719965812,-104.353403145299
"10","326331",38.3029554025974,-104.353381584416
"11","326532",38.2984125957447,-104.350566893617
"12","3266AA",38.2961702068966,-104.35056262069
"13","3267B1",38.3094894760148,-104.353643660517
"14","327556",38.2845944,-104.3702112
"15","3276B6",38.3117104558824,-104.350244735294
"16","32785E",38.2800178125,-104.367400625
"17","3278D6",38.2960989704641,-104.356343189873
"18","327989",38.3117224536082,-104.353426268041
"19","327A09",38.3095478653199,-104.347344619529
"20","327B01",38.2960717217391,-104.3610272
"21","327E7A",38.2940300779221,-104.353483584416
"22","32801D",38.3051043434343,-104.350605656566
"23","3282CA",38.3139274117647,-104.359704941176
"24","328452",38.3029812179931,-104.3562976609
"25","32845F",38.2915490680628,-104.360556272251
"26","328463",38.291576,-104.365458666667
"27","328726",38.3117103352601,-104.356349410405
"28","328773",38.3117760879121,-104.359430285714
"29","328791",38.284792,-104.372976
"30","3288B6",38.2868452571429,-104.3701616
"31","3288C1",38.3007182262443,-104.356246190045
"32","328B65",38.3094064980843,-104.35645462069
"33","328CA1",38.3094912520325,-104.350308292683
"34","328D01",38.2983812587413,-104.353455552448
"35","328E67",38.3053076264591,-104.353341883268
"36","328F95",38.2984434666667,-104.359259111111
"37","329149",38.2960895438597,-104.353427461988
"38","329199",38.2984013948718,-104.356205128205
"39","32930A",38.3093057513514,-104.359465556757
"40","3296B8",38.3070863919598,-104.353498331658
"41","329AB2",38.3074059622641,-104.359333886792
"42","329B65",38.3137505940594,-104.350072158416
"43","32B207",38.2938116923077,-104.356327863248
"44","32B849",38.3007878095238,-104.360241641026
"45","32B86D",38.3138862089552,-104.356539283582
"46","32B8EE",38.2907322857143,-104.362917857143
"47","33895A",38.3072083529412,-104.350669941176
"48","33B5BF",38.30324459375,-104.34805675
"49","33BD60",38.3072033103448,-104.356474298851
"50","33D486",38.3052115858586,-104.356183494949
"51","33D782",38.2951906909091,-104.359201745455
