Time,RadioId,TagId,TagRSSI,NodeId,Validated
6/1/21 10:00,2,2D523378,-101,3278d6,0
6/1/21 10:00,3,2D523378,-101,3278d6,0
6/1/21 10:00,3,2D523378,-102,3278d6,0
6/1/21 10:00,2,2D523378,-102,3278d6,0
6/1/21 10:00,2,2D523378,-102,3278d6,0
6/1/21 10:00,3,2D523378,-102,3278d6,0
6/1/21 10:01,3,2D523378,-101,3278d6,0
6/1/21 10:03,2,2A612A78,-81,325b16,0
6/1/21 10:03,3,2A612A78,-81,325b16,0
6/1/21 10:03,2,4C1E612A,-83,325b16,0
6/1/21 10:03,3,4C1E612A,-83,325b16,0
6/1/21 10:03,2,1E61331E,-105,325b16,0
6/1/21 10:03,3,1E61331E,-105,325b16,0
6/1/21 10:03,2,4C1E612A,-83,325b16,0
6/1/21 10:03,3,4C1E612A,-83,325b16,0
6/1/21 10:03,2,5.25E+38,-107,325b16,0
6/1/21 10:03,3,5.25E+38,-107,325b16,0
6/1/21 10:03,3,34614C07,-112,325b16,0
6/1/21 10:03,2,34614C07,-112,325b16,0
6/1/21 10:01,2,2D523378,-102,3278d6,0
6/1/21 10:01,3,2D523378,-102,3278d6,0
6/1/21 10:02,3,2D523378,-101,3278d6,0
6/1/21 10:02,2,2D523378,-101,3278d6,0
6/1/21 10:03,2,4C1E612A,-83,325b16,0
6/1/21 10:03,3,4C1E612A,-83,325b16,0
6/1/21 10:02,3,2D523378,-101,3278d6,0
6/1/21 10:02,2,2D523378,-101,3278d6,0
6/1/21 10:03,2,1E61331E,-105,325b16,0
6/1/21 10:03,3,1E61331E,-105,325b16,0
6/1/21 10:02,2,2D523378,-102,3278d6,0
6/1/21 10:02,3,2D523378,-102,3278d6,0
6/1/21 10:02,2,2D523378,-102,3278d6,0
6/1/21 10:02,3,2D523378,-102,3278d6,0
6/1/21 10:03,2,2A612A78,-78,325b16,0
6/1/21 10:03,3,2A612A78,-78,325b16,0
6/1/21 10:03,3,4C1E612A,-83,325b16,0
6/1/21 10:03,2,4C1E612A,-83,325b16,0
6/1/21 10:03,3,2D523378,-102,3278d6,0
6/1/21 10:03,2,2D523378,-102,3278d6,0
6/1/21 10:03,2,2D523378,-103,3278d6,0
6/1/21 10:03,3,2D523378,-103,3278d6,0
6/1/21 10:03,2,1E61331E,-107,325b16,0
6/1/21 10:03,3,1E61331E,-107,325b16,0
6/1/21 10:04,3,4C1E612A,-82,325b16,0
6/1/21 10:04,2,4C1E612A,-82,325b16,0
6/1/21 10:03,2,2D523378,-102,3278d6,0
6/1/21 10:03,3,2D523378,-102,3278d6,0
6/1/21 10:03,2,2D523378,-103,3278d6,0
6/1/21 10:03,3,2D523378,-103,3278d6,0
6/1/21 10:03,2,2D523378,-103,3278d6,0
6/1/21 10:03,3,2D523378,-103,3278d6,0
6/1/21 10:03,3,2D523378,-102,3278d6,0
6/1/21 10:03,2,2D523378,-102,3278d6,0
6/1/21 10:04,3,2A612A78,-83,325b16,0
6/1/21 10:04,2,2A612A78,-83,325b16,0
6/1/21 10:04,3,1E61331E,-107,325b16,0
6/1/21 10:04,2,1E61331E,-107,325b16,0
6/1/21 10:04,2,4C1E612A,-82,325b16,0
6/1/21 10:04,3,4C1E612A,-82,325b16,0
6/1/21 10:04,2,1E61331E,-105,325b16,0
6/1/21 10:04,3,1E61331E,-105,325b16,0
6/1/21 10:04,2,2D523378,-102,3278d6,0
6/1/21 10:04,3,2D523378,-102,3278d6,0
6/1/21 10:04,2,2D523378,-101,3278d6,0
6/1/21 10:04,3,2D523378,-101,3278d6,0
6/1/21 10:04,3,2D523378,-102,3278d6,0
6/1/21 10:04,2,2D523378,-102,3278d6,0
6/1/21 10:04,2,2D523378,-101,3278d6,0
6/1/21 10:04,3,2D523378,-101,3278d6,0
6/1/21 10:05,2,2D523378,-103,3278d6,0
6/1/21 10:05,3,2D523378,-103,3278d6,0
6/1/21 10:04,3,5.25E+38,-108,325b16,0
6/1/21 10:04,2,5.25E+38,-108,325b16,0
6/1/21 10:04,3,4C1E612A,-83,325b16,0
6/1/21 10:04,2,4C1E612A,-83,325b16,0
6/1/21 10:05,3,2A612A78,-79,325b16,0
6/1/21 10:05,2,2A612A78,-79,325b16,0
6/1/21 10:05,2,5.25E+38,-109,325b16,0
6/1/21 10:05,3,5.25E+38,-109,325b16,0
6/1/21 10:05,2,4C1E612A,-82,325b16,0
6/1/21 10:05,3,4C1E612A,-82,325b16,0
6/1/21 10:01,3,2D523378,-98,326532,0
6/1/21 10:01,2,2D523378,-98,326532,0
6/1/21 10:01,2,2D523378,-98,326532,0
6/1/21 10:01,3,2D523378,-98,326532,0
6/1/21 10:01,3,2D523378,-97,326532,0
6/1/21 10:01,2,2D523378,-97,326532,0
6/1/21 10:01,2,2D523378,-98,326532,0
6/1/21 10:01,3,2D523378,-98,326532,0
6/1/21 10:01,2,2D523378,-97,326532,0
6/1/21 10:01,3,2D523378,-97,326532,0
6/1/21 10:01,2,2D523378,-98,326532,0
6/1/21 10:01,3,2D523378,-98,326532,0
6/1/21 10:01,2,2D523378,-98,326532,0
